Date,Close
3/2/2015,43.76
3/3/2015,43.64
3/4/2015,43.46
3/5/2015,43.94
3/6/2015,42.79
3/9/2015,42.57
3/10/2015,41.71
3/11/2015,41.85
3/12/2015,42.1
3/13/2015,42.03
3/16/2015,42.84
3/17/2015,42.59
3/18/2015,43.63
3/19/2015,42.31
3/20/2015,43
3/23/2015,43.21
3/24/2015,43.18
3/25/2015,42.6
3/26/2015,42.27
3/27/2015,42.49
3/30/2015,42.96
3/31/2015,41.76
4/1/2015,41.96
4/2/2015,42.87
4/6/2015,43.11
4/7/2015,43.36
4/8/2015,43.24
4/9/2015,43.27
4/10/2015,43.24
4/13/2015,42.93
4/14/2015,43.26
4/15/2015,43.49
4/16/2015,44.98
4/17/2015,44.37
4/20/2015,44.23
4/21/2015,44.65
4/22/2015,44.06
4/23/2015,44.5
4/24/2015,44.7
4/27/2015,44.94
4/28/2015,44.63
4/29/2015,43.55
4/30/2015,43.48
5/1/2015,43.66
5/4/2015,43.47
5/5/2015,42.85
5/6/2015,42.94
5/7/2015,42.93
5/8/2015,44.16
5/11/2015,43.7
5/12/2015,43.5
5/13/2015,43.19
5/14/2015,43.76
5/15/2015,43.8
5/18/2015,43.42
5/19/2015,43.68
5/20/2015,43.59
5/21/2015,43.64
5/22/2015,43.28
5/26/2015,42.48
5/27/2015,43.11
5/28/2015,43.1
5/29/2015,42.7
6/1/2015,42.4
6/2/2015,42.12
6/3/2015,42.68
6/4/2015,42.27
6/5/2015,41.53
6/8/2015,41.48
6/9/2015,41.4
6/10/2015,42.25
6/11/2015,42.59
6/12/2015,41.82
6/15/2015,41.71
6/16/2015,41.97
6/17/2015,41.87
6/18/2015,42.52
6/19/2015,42.46
6/22/2015,43.53
6/23/2015,43.54
6/24/2015,43.44
6/25/2015,43.32
6/26/2015,43.61
6/29/2015,42.08
6/30/2015,41.84
7/1/2015,42.27
7/2/2015,41.93
7/6/2015,40.93
7/7/2015,41.19
7/8/2015,41.06
7/9/2015,41.73
7/10/2015,43.87
7/13/2015,43.99
7/14/2015,44.57
7/15/2015,44.61
7/16/2015,44.98
7/17/2015,44.71
7/20/2015,44.61
7/21/2015,44.1
7/22/2015,44.4
7/23/2015,44.87
7/24/2015,44.57
7/27/2015,44.33
7/28/2015,44.73
7/29/2015,44.67
7/30/2015,44.8
7/31/2015,44.83
8/3/2015,45.53
8/4/2015,45.43
8/5/2015,45.65
8/6/2015,45.94
8/7/2015,46.05
8/10/2015,46.51
8/11/2015,45.96
8/12/2015,43.89
8/13/2015,43.96
8/14/2015,43.66
8/17/2015,43.45
8/18/2015,43.36
8/19/2015,42.81
8/20/2015,41.74
8/21/2015,40.63
8/24/2015,39.58
8/25/2015,39.62
8/26/2015,40.13
8/27/2015,40.4
8/28/2015,40.16
8/31/2015,40.12
9/1/2015,39.06
9/2/2015,39.5
9/3/2015,39.73
9/4/2015,38.98
9/8/2015,39.81
9/9/2015,39.57
9/10/2015,39.33
9/11/2015,39.24
9/14/2015,38.84
9/15/2015,39.14
9/16/2015,40.41
9/17/2015,40.69
9/18/2015,40.1
9/21/2015,40.14
9/22/2015,39.01
9/23/2015,38.88
9/24/2015,38.43
9/25/2015,39.52
9/28/2015,38.96
9/29/2015,39.42
9/30/2015,40.2
10/1/2015,40.25
10/2/2015,41.12
10/5/2015,41.93
10/6/2015,42.04
10/7/2015,41.78
10/8/2015,42.07
10/9/2015,42.26
10/12/2015,42.87
10/13/2015,42.9
10/14/2015,42.91
10/15/2015,44.95
10/16/2015,45.32
10/19/2015,45.54
10/20/2015,45.36
10/21/2015,45.36
10/22/2015,46.04
10/23/2015,45.85
10/26/2015,45.57
10/27/2015,45.31
10/28/2015,45.2
10/29/2015,45.43
10/30/2015,44.98
11/2/2015,45.4
11/3/2015,45.36
11/4/2015,45.18
11/5/2015,45.3
11/6/2015,44.44
11/9/2015,43.87
11/10/2015,43.86
11/11/2015,44.39
11/12/2015,43.65
11/13/2015,42.67
11/16/2015,43.32
11/17/2015,43.56
11/18/2015,44.01
11/19/2015,44.38
11/20/2015,44.58
11/23/2015,44.28
11/24/2015,43.97
11/25/2015,44.58
11/27/2015,44.64
11/30/2015,43.74
12/1/2015,43.79
12/2/2015,44.14
12/3/2015,43.16
12/4/2015,43.58
12/7/2015,44.05
12/8/2015,43.58
12/9/2015,43.34
12/10/2015,43.02
12/11/2015,42.38
12/14/2015,42.33
12/15/2015,42.99
12/16/2015,43.9
12/17/2015,43.31
12/18/2015,42.72
12/21/2015,42.56
12/22/2015,42.78
12/23/2015,43.63
12/24/2015,43.56
12/28/2015,43.71
12/29/2015,44.23
12/30/2015,44.04
12/31/2015,43.32
1/4/2016,42.24
1/5/2016,42.11
1/6/2016,41.45
1/7/2016,40.97
1/8/2016,40.47
1/11/2016,40.6
1/12/2016,41.5
1/13/2016,40.76
1/14/2016,41.02
1/15/2016,40.27
1/19/2016,41.8
1/20/2016,40.93
1/21/2016,41.62
1/22/2016,42.64
1/25/2016,42.66
1/26/2016,43.02
1/27/2016,43.04
1/28/2016,43.22
1/29/2016,44.41
2/1/2016,44.49
2/2/2016,44.1
2/3/2016,43.94
2/4/2016,43
2/5/2016,42.73
2/8/2016,42.47
2/9/2016,42.34
2/10/2016,42.1
2/11/2016,41.84
2/12/2016,42.51
2/16/2016,42.79
2/17/2016,43.29
2/18/2016,43.07
2/19/2016,43.4
2/22/2016,43.41
2/23/2016,42.89
2/24/2016,42.81
2/25/2016,43.35
2/26/2016,42.86
2/29/2016,42.61
3/1/2016,44
3/2/2016,43.13
3/3/2016,43.31
3/4/2016,43.91
3/7/2016,43.59
3/8/2016,43.66
3/9/2016,43.79
3/10/2016,43.68
3/11/2016,44.27
3/14/2016,44.08
3/15/2016,44.28
3/16/2016,44.21
3/17/2016,44.55
3/18/2016,44.52
3/21/2016,44.17
3/22/2016,43.76
3/23/2016,44.33
3/24/2016,44.19
3/28/2016,44.32
3/29/2016,45
3/30/2016,45.52
3/31/2016,44.68
4/1/2016,44.64
4/4/2016,44.91
4/5/2016,44.76
4/6/2016,45.22
4/7/2016,44.84
4/8/2016,44.86
4/11/2016,44.81
4/12/2016,45.27
4/13/2016,45.48
4/14/2016,45.3
4/15/2016,45.63
4/18/2016,45.76
4/19/2016,47.05
4/20/2016,46.64
4/21/2016,45.56
4/22/2016,45.05
4/25/2016,45.3
4/26/2016,44.99
4/27/2016,44.73
4/28/2016,44.5
4/29/2016,44.02
5/2/2016,44.55
5/3/2016,44.14
5/4/2016,43.98
5/5/2016,43.95
5/6/2016,44.24
5/9/2016,44.66
5/10/2016,45.12
5/11/2016,44.72
5/12/2016,44.71
5/13/2016,44.2
5/16/2016,44.6
5/17/2016,43.67
5/18/2016,43.74
5/19/2016,43.43
5/20/2016,43.56
5/23/2016,43.42
5/24/2016,44.48
5/25/2016,44.52
5/26/2016,44.95
5/27/2016,45.16
5/31/2016,44.76
6/1/2016,45.34
6/2/2016,45.34
6/3/2016,45.89
6/6/2016,46.02
6/7/2016,46.27
6/8/2016,46.3
6/9/2016,46.07
6/10/2016,44.58
6/13/2016,43.71
6/14/2016,42.92
6/15/2016,42.87
6/16/2016,43.54
6/17/2016,43.33
6/20/2016,44.33
6/21/2016,45.4
6/22/2016,45.52
6/23/2016,46.55
6/24/2016,43.44
6/27/2016,43.44
6/28/2016,44.61
6/29/2016,45.53
6/30/2016,46.94
7/1/2016,46.95
7/5/2016,46.59
7/6/2016,46.22
7/7/2016,46.04
7/8/2016,46.4
